Comment,Designator,Footprint,LCSC,Quantity
1K,"R10,R2,R3,R4,R7",R_0402_1005Metric,C11702,5
100nF,"C1,C13,C14,C2,C3,C4,C5,C6,C8",C_0402_1005Metric,C1525,9
10uF,"C15,C16",C_0402_1005Metric,C15525,2
22pF,"C10,C9",C_0402_1005Metric,C1555,2
10uF,C12,C_0805_2012Metric,C15850,1
1N5819WS,D1,D_SOD-323,C191023,1
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040,1
LED_PWR,D2,LED_0603_1608Metric,C2286,1
330R,R9,R_0402_1005Metric,C25104,1
470R,R8,R_0402_1005Metric,C25117,1
10K,R1,R_0402_1005Metric,C25744,1
5K1,"R5,R6",R_0402_1005Metric,C25905,2
USB_C_Receptacle_USB2.0_16P,J1,USB-C-SMD_TYPE-C-6PIN-2MD-073,C2765186,1
W25Q16JVUXIQ,U2,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,C2843335,1
BTN_BOOT,"SW1,SW2,SW3",SW-SMD_L3.9-W3.0-P4.45,C455280,3
USBLC6-2SC6,U3,SOT-23-6,C5180249,1
1uF,"C11,C7",C_0402_1005Metric,C52923,2
LED_RGB,D4,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,C5349954,1
ME2135A33M6G,U4,SOT-23-6,C610271,1
X322512MSB4SI,X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,1
LED_USR,D3,LED_0603_1608Metric,C965804,1
H2,H2,OrphPicoHeaders,,1
H1,H1,OrphPicoHeaders,,1
PWR_Jumper,JP1,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
